RSF,QuoteDiff,RFPDiff,ATPDiff,Result,Product_ID,Quote,Customer_ID
3,-6200,3,14,0,HS4320,118200,C1
3,3500,4,14,1,HS2323,108500,C1
3,-6200,2,75,0,HS4320,118200,C1
3,-6200,0,14,0,HS4320,118200,C1
3,3500,20,14,1,HS2323,108500,C1
3,3500,3,-17,0,HS2323,108500,C1
3,-6200,0,75,0,HS4320,118200,C1
3,-10200,0,45,0,HS4320,118200,C1
3,-500,0,49,1,HS2323,108500,C1
3,3500,20,-17,0,HS2323,108500,C1
3,-10200,0,45,0,HS4320,118200,C1
3,3500,7,18,1,LS2100,88500,C1
3,19500,7,-12,1,LS2100,88500,C1
3,-500,0,45,0,HS2323,108500,C1
3,-500,0,49,1,HS2323,108500,C1
3,3500,-7,18,0,LS2100,88500,C1
3,19500,-7,-12,1,LS2100,88500,C1
3,-500,7,15,1,HS2323,108500,C1
3,-500,0,45,0,HS2323,108500,C1
3,-500,0,15,1,HS2323,108500,C1
3,2000,-20,-5,0,LS3410,94500,C1
3,-500,-14,14,1,HS2323,108500,C1
3,-500,0,14,1,HS2323,108500,C1
3,2000,0,15,1,LS3410,94500,C1
3,1500,0,9,1,HS2323,108500,C1
3,-1000,5,8,1,HS2200,106000,C1
3,-22800,3,8,0,HS2200,106000,C1
3,-22800,-30,3,0,HS2200,106000,C1
3,1500,0,9,1,HS2323,108500,C1
3,-1000,0,8,1,HS2200,106000,C1
3,-22800,0,8,0,HS2200,106000,C1
3,-4000,0,4,0,HS2200,106000,C1
3,-6500,2,0,0,HS2323,108500,C1
3,8500,5,6,1,HS2323,108500,C1
3,-1000,0,3,1,HS2200,106000,C1
3,-22800,30,3,0,HS2200,106000,C1
3,-3500,4,26,1,HS2323,108500,C1
3,-1000,0,3,1,HS2200,106000,C1
3,1700,-14,6,0,LS7620,112300,C1
3,-4000,0,4,0,HS2200,106000,C1
3,-6500,0,4,0,HS2323,108500,C1
3,8500,14,6,1,HS2323,108500,C1
3,-3500,0,26,1,HS2323,108500,C1
3,1700,14,6,0,LS7620,112300,C1
3,-16660,13,3,0,HS2323,108500,C1
3,-9200,-10,0,0,HS4320,118200,C1
3,-6200,0,3,0,HS4320,118200,C1
3,1700,4,8,1,LS7620,112300,C1
3,1700,5,8,1,LS7620,112300,C1
3,-16660,-13,3,0,HS2323,108500,C1
3,-9200,0,3,0,HS4320,118200,C1
3,-6200,0,3,0,HS4320,118200,C1
4,-5400,4,-17,0,HS4320,118200,C2
