TransID,Date,EmployeeID,ProjectID,CostCode,Hours,CountryID,BillRate,BilledAmt,SubAccount,Comments,Yr
1579348,2012-04-14,36,12,215,1.5,102,150,44.625208791107575,102-6022-10143,CRM - Build Phase,2012
1591111,2012-05-16,6,24,190,2,102,150,25.964101998749257,102-6041-10187,ERP - Production Support,2012
1658985,2012-12-28,2,51,490,1.5,108,150,72.44163708713128,108-6040-10144,Application Development Support,2012
1579380,2012-04-14,63,17,450,4,102,150,47.671586981317525,102-6022-10133,BI - Envisioning,2012
1550287,2012-01-11,16,3,452,0.5,103,450,47.764054050152936,103-6020-10217,Document TMM Partners use cases,2012
1603998,2012-06-22,63,36,457,3,102,150,54.51549102307185,102-6044-10193,BI - SSIS Package Design,2012
1643101,2012-10-15,51,57,902,2,110,300,82.95664647167479,110-6028-10204,client meeting,2012
1641490,2012-10-07,52,54,190,6,102,600,65.62045034997563,102-6028-10190,ERP - Production Support,2012
1631457,2012-09-14,44,57,400,2,110,300,52.99467803085756,110-6028-10204,trouble shoot issue with PRR Drilldown report,2012
1616235,2012-07-26,12,39,410,2,107,900,38.861556292952315,107-6034-10161,Develop Technical Specifications,2012
1551387,2012-01-17,34,1,415,1,102,150,73.39938099419392,102-6036-10148,AppDef-Object Model,2012
1614130,2012-07-21,63,34,456,0.5,102,150,76.01249524955485,102-6029-10139,BI - Acceptance Testing,2012
1556682,2012-02-01,15,5,452,0.5,104,450,22.831660117568163,104-6020-10210,"""CAS-24174-X3W6: Investigate issue where user recevies error when attempting to modify report category, update report owner, move report""",2012
1553029,2012-01-26,31,1,190,1,102,150,57.245402438385334,102-6036-10148,ERP - Production Support,2012
1557267,2012-02-04,12,3,490,0.5,103,900,58.17788267280033,103-6020-10217,Application Development Support,2012
1617587,2012-08-02,57,24,435,4.5,102,150,18.419040604367154,102-6041-10187,AppDev-User Guide/Document,2012
1560859,2012-02-23,55,4,902,1,104,150,76.68498264253608,104-6023-10169,client meeting,2012
1656032,2012-12-13,41,66,190,3.5,105,300,34.609527408185734,105-6020-10178,ERP - Production Support,2012
1640935,2012-10-04,44,12,415,2,102,300,79.91637211192418,102-6022-10143,Update Supplier Onboarding form,2012
1567061,2012-03-10,34,6,490,1.5,102,150,81.3132689477239,102-6022-10147,Application Development Support,2012
1650734,2012-11-15,4,57,902,2,110,300,68.54474927567047,110-6028-10204,New Client Meeting,2012
1552737,2012-01-24,51,3,902,1,103,300,56.994019250538734,103-6020-10217,New Client Meeting,2012
1559306,2012-02-15,42,1,458,3.5,102,300,28.557310300630924,102-6036-10148,BI - Reporting Build Phase,2012
1576900,2012-04-01,44,1,490,2.5,102,300,78.3176615474448,102-6036-10148,Application Development Support,2012
1552330,2012-01-22,38,5,450,2,104,150,52.944567073097275,104-6020-10210,Thompson Riley Good History. Discuss AX / Power Query with BI Team.,2012
1627797,2012-08-26,25,55,190,0.5,102,150,72.75084135232363,102-6034-10128,ERP - Production Support,2012
1603228,2012-06-18,27,17,458,4,102,300,16.58201517200699,102-6022-10133,Review web service configuration for UAT and PRD,2012
1649313,2012-11-08,53,47,190,2,104,600,48.96438186616446,104-6051-10132,Document TMM Partners use cases,2012
1570096,2012-03-26,16,17,452,4,102,450,55.88780010452234,102-6022-10133,BI - Configure Database,2012
1639023,2012-09-24,17,46,410,4.5,102,150,93.29572030863788,102-6023-10137,Develop Technical Specifications,2012
1570455,2012-03-28,3,18,190,2.5,110,150,39.537048988486944,110-6034-10149,ERP - Production Support,2012
1628192,2012-08-28,22,2,400,2,102,150,46.76320524573539,102-6037-10184,AppDev-Genl Reqmt & Architect,2012
1658176,2012-12-24,35,57,425,5,110,150,54.322250955002666,110-6028-10204,AppDev-Testing,2012
1611578,2012-07-08,34,29,435,0.5,103,150,58.07767480513547,103-6027-10217,AppDev-User Guide/Document,2012
1549359,2012-01-06,24,4,452,4,104,150,65.01951425243797,104-6023-10169,BI - Configure Database,2012
1619916,2012-08-14,54,46,458,1,102,300,64.62406890569578,102-6023-10137,Dimensions mapping and definitions review,2012
1588242,2012-05-01,25,28,190,3,103,150,44.99230207115212,103-6035-10164,ERP - Production Support,2012
1577439,2012-04-04,46,9,405,1,102,150,75.08767744120269,102-6025-10191,Requirements Definition,2012
1654731,2012-12-06,2,55,435,2.5,102,150,70.35802147886305,102-6034-10128,AppDev-User Guide/Document,2012
1642491,2012-10-12,38,54,453,3,102,150,61.778417938751815,102-6028-10190,Conduct internal excel training for quality team,2012
1613296,2012-07-17,33,22,190,2,107,600,25.537610157066013,107-6034-10213,ERP - Production Support,2012
1657633,2012-12-21,28,76,458,2.5,102,750,44.74570390193876,102-6047-10208,BI - Reporting Build Phase,2012
