TransID,Date,EmployeeID,ProjectID,CostCode,Hours,CountryID,BillRate,BilledAmt,SubAccount,Comments,Yr
1559659,2012-02-17,57,3,430,0.5,103,150,70.96157745492476,103-6020-10217,AppDev-Defect Resolution,2012
1631630,2012-09-15,25,44,190,1.5,105,150,80.49221118673309,105-6033-10142,ERP - Production Support,2012
1548450,2012-01-01,20,5,458,4.5,104,150,74.76178669083482,104-6020-10210,BI - Reporting Build Phase,2012
1556667,2012-02-01,22,5,415,1,104,150,91.43025323018298,104-6020-10210,testing and bug fixes,2012
1603768,2012-06-21,34,23,420,4.5,106,150,64.97232344480786,106-6020-10134,AppDev-Build,2012
1654588,2012-12-05,20,74,902,3.5,102,150,95.47400120000107,102-6044-10151,market research,2012
1609990,2012-06-30,1,36,190,3,102,600,71.0681846226206,102-6044-10193,ERP - Production Support,2012
1646633,2012-10-25,48,61,190,2,104,150,71.22038371378804,104-6033-10140,ERP - Production Support,2012
1552312,2012-01-22,9,6,410,1.5,102,150,64.43259594745898,102-6022-10147,Develop Technical Specifications,2012
1614474,2012-07-23,52,37,190,1.5,102,600,62.32750875419731,102-6043-10183,ERP - Production Support,2012
1650927,2012-11-16,44,72,495,3,106,300,90.55470868772528,106-6026-10209,Prepare TMM Partners prototype,2012
1646431,2012-10-24,2,44,190,2.5,105,150,59.314240544986696,105-6033-10142,ERP - Production Support,2012
1611763,2012-07-09,13,9,415,2.5,102,300,53.86199166871983,102-6025-10191,AppDef-Object Model,2012
1581307,2012-04-24,38,20,457,1,104,150,84.08324109512529,104-6047-10210,BI - SSIS Package Design,2012
1581521,2012-04-25,21,23,458,2,106,150,79.77631442221806,106-6020-10134,BI - Reporting Build Phase,2012
1601059,2012-06-07,63,13,453,2.5,105,150,65.65751316916474,105-6032-10160,Study SSAS Cube partitioning,2012
1580681,2012-04-21,53,16,190,3.5,102,600,56.310980453963104,102-6031-10190,ERP - Production Support,2012
1656663,2012-12-16,68,79,456,2.5,106,750,77.73617647512071,106-6045-10134,BI - Acceptance Testing,2012
1577656,2012-04-05,37,5,456,2,104,150,72.89601568533355,104-6020-10210,BI - Acceptance Testing,2012
1647435,2012-10-29,35,72,435,3,106,150,62.91043437256234,106-6026-10209,Validate development environment with database backup and restore,2012
1619085,2012-08-10,12,32,190,3.5,107,900,58.05176468455762,107-6021-10186,ERP - Production Support,2012
1655855,2012-12-12,67,67,215,10,102,300,60.80128853387572,102-6024-10192,CRM - Build Phase,2012
1617353,2012-08-01,48,22,190,3,107,150,61.39301634889936,107-6034-10213,ERP - Production Support,2012
1557832,2012-02-07,43,1,458,1,102,300,64.95802847306906,102-6036-10148,BI - Reporting Build Phase,2012
1628024,2012-08-27,24,53,450,2.5,102,150,97.93756885362595,102-6032-10137,BI - Envisioning,2012
1621031,2012-08-20,17,35,435,1,107,150,54.853794155557395,107-6047-10202,Review requested updates,2012
1642081,2012-10-10,57,48,415,2,102,150,54.07259037543111,102-6045-10216,Conduct internal excel training for quality team,2012
1568559,2012-03-18,18,2,420,0.5,102,300,62.83772774390749,102-6037-10184,AppDev-Build,2012
1630302,2012-09-08,30,42,215,0.5,110,300,50.52432782030372,110-6024-10166,CRM - Build Phase,2012
1643260,2012-10-16,14,42,452,0.5,110,150,76.14095029015391,110-6024-10166,Process review meeting with business decision makers accounting team,2012
1577804,2012-04-06,3,15,190,2.5,102,150,53.65921650542513,102-6021-10141,Analysis Services reporting,2012
1551250,2012-01-16,20,4,902,1,104,150,62.81451855233733,104-6023-10169,market research,2012
1552284,2012-01-22,41,1,190,2.5,102,300,79.26186478742571,102-6036-10148,Vacation,2012
1561365,2012-02-26,61,1,215,1,102,600,69.47737816414842,102-6036-10148,Alter Production report office data connection and associated SQL query and stored prod,2012
1558728,2012-02-12,37,4,450,1,104,150,65.04755712025704,104-6023-10169,BI - Envisioning,2012
1651131,2012-11-17,10,54,902,3.5,102,300,80.62967765232266,102-6028-10190,market research,2012
1567197,2012-03-11,35,7,415,3.5,107,150,67.21693997627034,107-6043-10186,AppDef-Object Model,2012
1599903,2012-06-01,51,15,458,5,102,300,52.25987836886383,102-6021-10141,Update quality control documents and details for OMINC and ARR Inc,2012
1648926,2012-11-06,13,41,190,3,106,300,63.366984536807855,106-6035-10134,Architecture discussion,2012
1630900,2012-09-11,15,39,452,0.5,107,450,61.0720705947948,107-6034-10161,BI - Configure Database,2012
1560066,2012-02-19,64,6,458,4,102,150,72.72514121386317,102-6022-10147,BI - Reporting Build Phase,2012
1639585,2012-09-27,46,55,400,1,102,150,57.205189952732326,102-6034-10128,"""Adjusted Project Plan for client to fit the old Project Plan sent to PM F. Adjusted hours and tasks. Revised the past queries, organize them in the Client folder. Created TTL Incs table analysis diag""",2012
1642462,2012-10-12,49,42,215,1,110,450,71.01322057308144,110-6024-10166,Microsoft Certification Training,2012
1560198,2012-02-20,31,1,190,2,102,150,56.21446926599975,102-6036-10148,ERP - Production Support,2012
1612776,2012-07-14,55,24,458,1.5,102,150,73.60474778956723,102-6041-10187,BI - Reporting Build Phase,2012
1578610,2012-04-10,14,15,453,2,102,150,73.40309845875845,102-6021-10141,BI - Budgeting Build Phase,2012
1566984,2012-03-10,31,10,190,1,102,150,66.01988081379208,102-6020-10147,ERP - Production Support,2012
1613166,2012-07-16,69,34,458,0.5,102,300,54.19448876591623,102-6029-10139,BI - Reporting Build Phase,2012
1651892,2012-11-21,47,47,495,5,104,300,83.05893541158176,104-6051-10132,Discuss income statement report by job  and PM,2012
1591104,2012-05-16,3,9,190,2,102,150,69.64771957390961,102-6025-10191,ERP - Production Support,2012
1643291,2012-10-16,13,49,495,1.5,110,300,55.93426175941492,110-6022-10157,App Dev - Project Management,2012
1559893,2012-02-18,8,5,495,1,104,300,50.84027786519541,104-6020-10210,Prep work for status review meeting,2012
1610446,2012-07-02,9,15,495,3.5,102,150,68.19451052028018,102-6021-10141,Review inquiry around restaurants web part on the projects page,2012
1553042,2012-01-26,52,5,190,1,104,600,69.74523040696006,104-6020-10210,ERP - Production Support,2012
